UserId,Introduce
1,"武の真髓、
チャンドラハース！"
2,林则徐想讲两句话！！
3,"Them & Us (Both Simplified and Traditional Chinese will be added at the end of early access)
Daymare: 1998 (Simplified Chinese has been added after its release)
Business Tour (Simplified Chinese has been added after its release)"
4,爱游戏的工科狗。
5,hi，bro！what's up
6,老实人评测，给你最老实的评测
7,"御天之骑
铭刻编年
此时此刻，正乃极致之时
从此绝版
终焉一击"
8,"“游戏它不只是娱乐，你得到的，也远不止快乐。”
“和那些注定与游戏有着更深羁绊的人一样，对游戏，我们从不游戏。”
“游戏的魅力，去热爱，才会懂！”
我和你一样，是一位游戏爱好者！

电子游戏在继传统八大艺术形式之后被圈内喻为“第九艺术”，作为美的表现，同时又作为审美的对象，它总是以其独特的表现形式丰富着人们的内心世界，而欣赏（游玩）优秀的电子游戏作品无疑是一种享受。游戏应该被更多人关注，需要被更多人理解。"
9,"热爱各种大作，然而电脑各种带不动
-沉迷喜加一无法自拔，然而各种放着不玩
-有人加我好友我是很高兴的,所以尽管加我
-即使是骗子加我我也很愿意, 反正我会各种调戏你 "
10,"ことりのおやつにしてやるぞー！——南小鸟
まんまるお山に彩りを！——丸山彩
日音手游爱好者，LLSIF，Bangdream，CGSS，mltd等"
