GoodID,GoodName,GoodImg,Detail,RDate,Owner,Price
1,ARK Survival Evolved,,由虚幻4引擎打造的一款多人在线生存竞技网游，在一个超高自由度的开放世界里，可以体验采集、制造、打猎、收获、建造、研究以及驯服恐龙等超多自由内容，感受酷热白昼、冰冷夜晚的动态天气系统以及饥饿口渴等现实中的生存挑战，还要面对其它生存者的威胁，合作生存还是竞技厮杀，由你决定！,2017.8.27,Studio Wildcard Instinct Games,138
2,DayZ,,《DayZ》是一款残酷而真实的开放世界在线沙盒游戏，服务器上 60 名玩家中每一人都在追求一个目标——尽一切必要手段，尽可能地生存下去。没有可有可无的提示、路点、内置教程或帮助。你做的每个决定都很重要——不能保存游戏，没有额外的生命，每个错误都性命攸关。如果失败，你将失去一切，只能从头再来。,2018.12.14,Bohemia Interactive,199
3,Don't Starve Together,,《Don't Starve Together》是原生态荒野生存游戏《Don't Starve》的多人联机独立资料片。进入一个光怪陆离而未经探索的世界，这里充满了奇怪的生物以及形形色色的危险和意外。收集资源以制作符合你的生存风格的物品和建筑。一路解开这块奇怪大陆上的各种谜团。你可以在非公开游戏中与好友并肩作战，或者与陌生玩家在线组队去探险。携手其他玩家克服恶劣的环境，或者自力更生，求得生存。你必须懂得随机应变，且谨记一点：千万别饿死。,2016.4.22,Klei Entertainment,24
4,F1 2018,,在 F1? 2018 中名声大噪。 F1? 2018 是2018世界一级方程式锦标赛的官方电视游戏。F1 2018 将于2018年8月24日（星期五）在 PS?4 电脑娱乐平台，包括 Xbox One X 在内的 Xbox One 系列设备及 Windows PC 平台上发行（DVD 和 Steam），为大家带来前所未有的沉浸式一级方程式赛车体验。,2018.8.24,Codemasters,163
5,GTA5,,一个初涉江湖的街头新丁、一个洗手多年的银行劫匪和一个丧心病狂的杀人狂魔，误打误撞中深陷犯罪集团、美国政府和娱乐产业之间盘根错杂的恐怖困境。他们必须齐心协力，接连完成九死一生的惊天劫案，才能在这个冷血无情的城市中苟延残喘。不要相信任何人，尤其是你的同伙！,2015.4.14,Rockstar North,119
6,Human Fall Flat,,人类一败涂地的世界拥有先进的物理引擎和创新的操作，能够为您带来多种挑战。Bob的坠落之梦中夹杂了许多需要解决的谜题和让你忘记本来目的的小玩意儿，贸然尝试它们可能会闹出不少笑料。这些世界可能看上去很奇幻，但物理法则可是很真实的。,2016.7.23,No Brakes Games,48
7,Metal Unit,,Metal Unit讲述了被外星人和怪兽占领的地球而奋斗的悲剧故事的游戏。在游戏中，主角作为人类为数不多的生存者，为从外星人中解放她们的星球，将与敌人展开殊死搏斗。地球已被外星机器和来自古代的怪兽所侵占，你将扮演新兵Joanna，身着M-Unit装甲，拯救人类并向与外星人结盟的姐姐复仇。,2020.2.04,JellySnow Studio,59
8,MONSTER HUNTER WORLD,,"新的生命之地。狩猎, 就是本能! 在系列最新作品「Monster Hunter: World」中,玩家可以体验终极的狩猎生活,活用新建构的世界中各种各样的地形与生态环境享受狩猎的惊喜与兴奋。",2018.8.09,"CAPCOM Co., Ltd.",203
9,Overcooked! 2,,Overcooked 回来了，带着全新的烹饪行动！重返洋葱王国，通过经典的本地合作模式或是在线游戏模式组建多达四人的大厨团队。,2018.8.08,Ghost Town Games Ltd.,90
10,Red Dead Redemption 2,,美国，1899 年。当警察开始打击残余亡命之徒的帮派时，蛮荒的西部时代终将迎来最后的黄昏。亚瑟·摩根和范德林德帮众在黑水镇一次抢劫行动中遭遇了始料不及的意外，他们不得不逃离这个西部小镇。联邦侦探和全国顶尖的赏金猎人在他们的身后穷追不舍，亚瑟一行人必须在广袤蛮荒的美国腹地上四处劫掠、挣扎求生。而帮派内部的矛盾分化日渐加深，摆在亚瑟面前的将是他无法避免的抉择：究竟是选择自己的理想，还是选择效忠于抚养了自己的帮派。,2019.12.06,Rockstar Games,249
